Rosenblum, Michael:77
Erra, Ramon Guevara:1
Klier, Dennis Tobias:10
Kumke, Michael Uwe:94
Alves, Alexessander Da Silva Couto:1
Llop, Sabrina:1
Veijola, Riitta:1
Gonzalez, Juan R.:1
de Jongste, Johan C.:1
Widen, Elisabeth:3
Grant, Struan F. A.:7
Medina-Gomez, Carolina:2
Pennell, Craig E.:7
Atalay, Mustafa:5
Grallert, Harald:2
Keinanen-Kiukaanniemi, Sirkka:1
Bonnelykke, Klaus:5
Jaddoe, Vincent W. V.:7
Waage, Johannes:1
Pahkala, Katja:3
Holloway, John W.:7
Panoutsopoulou, Kalliope:5
Myhre, Ronny:4
Zeggini, Eleftheria:5
Magnus, Per:2
Kiess, Wieland:4
Lyytikainen, Leo-Pekka:4
Koerner, Antje:3
Mentch, Frank D.:3
Lewin, Alexandra:1
Kaakinen, Marika:3
Vaarasmaki, Marja:1
Pitkanen, Niina:2
Groen-Blokhuis, Maria:3
Hocher, Berthold:99
Sevelsted, Astrid:1
Hirschhorn, Joel N.:5
Raitakari, Olli T.:8
Koppelman, Gerard H.:4
Sebert, Sylvain:7
Sengpiel, Verena:2
St Pourcain, Beate:5
Jacobsson, Bo:4
Freathy, Rachel M.:6
Blakemore, Alexandra I. F.:3
Kooijman, Marjolein N.:2
Melen, Erik:2
Feenstra, Bjarke:6
Kemp, John P.:4
Saaf, Annika:1
Bergstrom, Anna:1
Teo, Yik-Ying:5
Timpson, Nicholas J.:6
Kerkhof, Marjan:4
Ang, Wei:6
Lakka, Timo:1
Smith, George Davey:6
Lowe, William L.:4
Boomsma, Dorret I.:7
Ring, Susan M.:5
Palotie, Aarno:2
Stergiakouli, Evangelia:1
Thiering, Elisabeth:5
Liang, Liming:1
Armstrong, Loren L.:1
Knip, Mikael:1
Saw, Seang-Mei:6
Sergeyev, Elena:1
van der Valk, Ralf J. P.:1
Curtin, John A.:2
van Duijn, Cornelia M.:6
Flexeder, Claudia:4
Ntalla, Ioanna:6
Buxton, Jessica L.:4
Franke, Lude:1
Guxens, Monica:4
Melbye, Mads:6
Tiesler, Carla M. T.:2
Mahajan, Anubha:5
Murray, Clare S.:1
Frayling, Timothy M.:5
Sunyer, Jordi:3
Kull, Inger:1
Barton, Sheila J.:4
Evans, David M.:6
Cousminer, Diana L.:5
Huikari, Ville:5
Ilonen, Jorma:1
Lindi, Virpi:5
Uitterlinden, Andre G.:7
Stokholm, Jakob:2
Jarvelin, Marjo-Riitta:6
Bisgaard, Hans:6
Postma, Dirkje S.:2
Niinikoski, Harri:3
Bustamante, Mariona:4
Geller, Frank:6
Kreiner-Moller, Eskil:5
Rodriguez, Alina:4
Estivill, Xavier:6
Hofman, Albert:6
Warrington, Nicole M.:5
Hayes, M. Geoffrey:4
Chawes, Bo Lund Krogsgaard:2
Mccarthy, Mark I.:1
Joro, Raimo:2
Gehring, Ulrike:1
Taal, H. Rob:4
Eriksson, Johan:2
Eriksen, Patrick:1
Hartikainen, Anna-Liisa:3
Huang, Jinyan:1
Bradfield, Jonathan P.:6
Dedoussis, George V.:6
Hakonarson, Hakon:7
Newnham, John P.:3
Horikoshi, Momoko:7
Rivadeneira, Fernando:7
Simpson, Angela:2
Pers, Tune H.:1
Custovic, Adnan:2
Grunewald, Wim:2
Boutilier, Kim:1
Robert, Helene S.:1
Soriano, Mercedes:1
Cannoot, Bernard:2
Weijers, Dolf:2
Bennett, Malcolm:1
Friml, Jiri:3
Swarup, Ranjan:1
Sauer, Michael:7
Musset, Sophie:1
Andersson, Viktor:1
Scheucher, Markus:1
Hoeller, Christian:1
Amaya, Jorge:1
Rummelhagen, Mirko:1
Thonhofer, Stefan:1
Madi, Mohammad:1
Juhasz, Lilla:1
Sorba, Arianna:1
Iliev, Sergiu:1
Kiefer, Rene:1
Lejosne, Solene:1
Lasagni, Riccardo:1
Lorenz, Ulf:6
Roland, Steffen:17
Albrecht, Steve:24
Schlatmann, Rutger:2
Stannowski, Bernd:1
Rech, Bernd:7
Facchetti, Antonio:13
Seger, Mark:1
Neubert, Sebastian:2
Trefz, Daniel:1
Ludwigs, Sabine:5
Tornow, Benjamin:1
Karim, Alamgir:1
Back, Justus:1
Yager, Kevin G.:1
Kayunkid, Navaphun:2
Fischer, Florian S. U.:3
Singh, Gurpreet:1
Brinkmann, Martin:3
Cardinale, Marco:2
Beurskens, Rainer:9
Gollhofer, Albert:13
Mühlbauer, Thomas:28
Granacher, Urs:143
Kabashin, Andrei V.:2
Lomadze, Nino:36
Santer, Svetlana:72
Lysyakova, Liudmila:6
Maximova, Ksenia:1
Kitamoto, Shunji:2
Ilyin, Ilya:14
Hubrig, Swetlana:25
Kholtygin, Alexander F.:1
Schöller, Markus:2
Oskinova, Lida M.:105
Hoshino, Akio:1
Todt, Helge:55
Tsumura, Hiroki:1
Ignace, Richard:13
Schlappa, Justine:2
Miedema, Piter S.:12
Strocov, Vladimir N.:7
Schmitt, Thorsten:15
Hennies, Franz:11
Kennedy, Brian:19
Hofmann, W.:63
Peyaud, B.:64
Vink, J.:47
Zdziarski, A. A.:63
Henri, G.:62
Janiak, M.:43
