Barton, Sheila J.:4
Evans, David M.:6
Cousminer, Diana L.:5
Huikari, Ville:5
Lindi, Virpi:5
Uitterlinden, Andre G.:7
Stokholm, Jakob:2
Jarvelin, Marjo-Riitta:6
Bisgaard, Hans:6
Postma, Dirkje S.:2
Niinikoski, Harri:3
Bustamante, Mariona:4
Geller, Frank:6
Kreiner-Moller, Eskil:5
Rodriguez, Alina:4
Estivill, Xavier:6
Hofman, Albert:6
Warrington, Nicole M.:5
Hayes, M. Geoffrey:4
Chawes, Bo Lund Krogsgaard:2
Joro, Raimo:2
Taal, H. Rob:4
Eriksson, Johan:2
Hartikainen, Anna-Liisa:3
Bradfield, Jonathan P.:6
Dedoussis, George V.:6
Hakonarson, Hakon:7
Newnham, John P.:3
Horikoshi, Momoko:7
Rivadeneira, Fernando:7
Simpson, Angela:2
Custovic, Adnan:2
Grunewald, Wim:2
Cannoot, Bernard:2
Weijers, Dolf:2
Friml, Jiri:3
Sauer, Michael:7
Lorenz, Ulf:6
Roland, Steffen:17
Albrecht, Steve:24
Schlatmann, Rutger:2
Rech, Bernd:7
Facchetti, Antonio:13
Neubert, Sebastian:2
Ludwigs, Sabine:5
Kayunkid, Navaphun:2
Fischer, Florian S. U.:3
Brinkmann, Martin:3
Cardinale, Marco:2
Beurskens, Rainer:9
Gollhofer, Albert:13
Mühlbauer, Thomas:28
Granacher, Urs:143
Kabashin, Andrei V.:2
Lomadze, Nino:36
Santer, Svetlana:72
Lysyakova, Liudmila:6
Kitamoto, Shunji:2
Ilyin, Ilya:14
Hubrig, Swetlana:25
Schöller, Markus:2
Oskinova, Lida M.:105
Todt, Helge:55
Ignace, Richard:13
Schlappa, Justine:2
Miedema, Piter S.:12
Strocov, Vladimir N.:7
Schmitt, Thorsten:15
Hennies, Franz:11
Kennedy, Brian:19
Hofmann, W.:63
Peyaud, B.:64
Vink, J.:47
Zdziarski, A. A.:63
Henri, G.:62
Janiak, M.:43
Chakraborty, N.:41
Chadwick, Paula M.:27
Mehault, J.:29
Weidinger, M.:26
Bregeon, Johan:18
van Eldik, C.:56
Krakau, S.:53
Bolmont, J.:64
Quirrenbach, A.:65
Angüner, Ekrem O&#487:44
Niemiec, J.:68
Schwarzburg, S.:28
Weitzel, Q.:26
Wouters, D.:50
Giebels, B.:51
Reimer, A.:67
Kluzniak, W.:64
Schwanke, U.:67
White, R.:67
Hermann, G.:65
Balenderan, Shangkari:26
Poon, H.:43
Dubus, G.:39
Pekeur, N. W.:51
Pita, S.:65
Stegmann, Christian:64
Meyer, M.:50
Domainko, W.:47
Lemoine-Goumard, M.:65
Fegan, S.:64
Ivascenko, A.:33
Santangelo, A.:65
Conrad, Jan:36
Egberts, Kathrin:69
Pelletier, G.:52
Romoli, C.:56
Rulten, C. B.:53
Vincent, P.:66
Foerster, A.:44
Jacholkowska, A.:61
Bordas, Pol:61
Oakes, L.:61
Jankowsky, F.:58
Eger, P.:47
Willmann, P.:49
Hillert, A.:34
Benkhali, Faical Ait:27
Vasileiadis, G.:64
Farnier, C.:53
Sanchez, David M.:40
Klochkov, D.:51
Dyks, J.:65
Lohse, T.:66
Rowell, G.:63
Meintjes, P. J.:54
Sol, H.:68
Veh, J.:46
Carrigan, Svenja:28
Espigat, P.:30
Sushch, Iurii:41
Kieffer, M.:36
Reimer, O.:62
deWilt, P.:48
Tjus, J. Becker:56
Boettcher, Markus:34
Chaves, Ryan C. G.:33
Edwards, T.:48
Dyrda, M.:36
Ostrowski, M.:66
Wierzcholska, A.:65
Renaud, M.:66
Zaborov, D.:42
uzhan:46
Akhperjanian, A. G.:46
Boisson, Catherine:34
Vuillaume, T.:54
Sahakian, V.:55
Spanier, F.:43
Wagner, P.:50
Raab, S.:62
Mohamed, M.:62
Schwemmer, S.:64
Deil, C.:58
Rosier-Lees, S.:40
Stawarz, L.:65
Gallant, Y. A.:64
Marandon, V.:53
Reichardt, I.:21
Murach, T.:60
Aharonian, Felix A.:66
Bulik, Tomasz:36
Haeffner, S.:30
Valerius, K.:31
Bernlöhr, K.:34
Garrigoux, T.:53
Fernandes, M. V.:49
Cologna, Gabriele:32
Schlickeiser, R.:66
Glicenstein, J. F.:63
Voelk, H. J.:59
Spies, F.:36
Terrier, R.:65
Tluczykont, M.:64
Ohm, S.:64
Bernhard, Sabrina:15
Abramowski, Attila:33
Spengler, G.:45
Mayer, Michael:6
Couturier, C.:34
Bryan, Mark:15
Maxted, N.:55
de los Reyes, R.:44
Hahn, J.:64
Davids, I. D.:62
Degrange, B.:44
Panter, M.:65
Katz, U.:58
Kaufmann, S.:29
Klepser, S.:66
Woernlein, A.:46
Horns, D.:64
Maurin, G.:63
de Naurois, M.:65
Yang, R.:48
Gabici, S.:46
Lefaucheur, J.:59
Viana, A.:55
Grudzinska, M.:33
Fernandez, D.:30
Kosack, K.:66
Wagner, R. M.:49
Laffon, H.:52
Ward, M.:27
Trichard, C.:64
Harris, J.:26
Hervet, O.:53
Moulin, E.:66
van Soelen, B.:52
Marcowith, A.:64
Birsin, E.:35
Lu, C. -C.:23
Komin, Nu:16
Khelifi, B.:66
Stycz, K.:44
Gajdus, M.:43
Punch, M.:62
Fontaine, G.:66
Odaka, H.:48
Kastendieck, M. A.:63
Lefranc, V.:27
Schuessler, F.:33
Nolan, S. J.:28
Stinzing, F.:40
Brun, Francois:33
Marx, R.:58
Jamrozy, M.:60
Jahn, C.:28
Opitz, B.:30
Berge, David:15
Cui, Y.:36
Oya, I.:57
Chalme-Calvet, R.:38
Rieger, F.:64
Donath, A.:44
Katarzynski, K.:58
Menzler, U.:32
Krueger, P. P.:39
Zacharias, M.:64
Biteau, Jonathan:35
Giavitto, G.:59
Mitchell, A. M. W.:41
Balzer, Arnim:34
Brun, Pierre:34
Taylor, A. M.:57
Zechlin, H. -S.:21
Hadasch, D.:29
Grondin, M. -H.:49
Rudak, B.:66
Fiasson, A.:64
Chretien, M.:38
Hofverberg, P.:31
Tavernet, J. -P.:48
Vorster, M.:27
Venter, C.:63
Mora, K.:34
Arribas, M. Paz:37
Lamanna, G.:66
Djannati-Ataï, A.:29
Tavernier, T.:57
Volpe, F.:29
Kolitzus, D.:42
Backes, Michael:21
Schulz, A.:64
Salek, D.:26
Moderski, R.:66
Dutson, K.:48
Fuessling, M.:50
Krayzel, F.:38
Feinstein, F.:31
Heinzelmann, G.:63
Lenain, J. -P.:48
Petrucci, P. -O.:46
Wagner, S. J.:63
Steenkamp, R.:65
Jung-Richardt, I.:30
Lemiere, A.:57
Hinton, James Anthony:42
Gottschall, D.:43
Lopatin, A.:32
Puehlhofer, G.:57
Colafrancesco, Sergio:33
Casanova, Sabrina:64
Parsons, R. D.:64
McComb, T. J. L.:28
Zabalza, V.:36
Zech, A.:65
Becherini, Yvonne:35
Roelly, Sylvie:12
Leonard, Christian:2
Conforti, Giovanni:4
Murr, Rüdiger:2
Sellberg, J. A.:4
Mercurio, G.:3
Gladh, J.:4
Pettersson, Lars G. M.:8
Kuehn, D.:2
Norskov, J. K.:3
Kaya, S.:4
Schlotter, W. F.:7
Hieke, F.:3
Moeller, S. P.:2
Ogasawara, Hirohito:7
Turner, J. J.:7
Nilsson, A.:4
Nordlund, D.:5
Wolf, M.:5
Abild-Pedersen, Frank:3
Wurth, W.:8
Ostrom, H.:3
Oberg, H.:4
Persson, Mats:2
Lühr, Hermann:9
Xiong, Chao:7
Stolle, Claudia:29
Buchert, Stephan:2
Park, Jaeheung:7
Baushev, Anton N.:9
Frijia, Gianluca:16
Parente, Mariano:8
Di Lucia, Matteo:5
Mutti, Maria:35
Valleriani, Angelo:14
Keller, Peter:3
Kupfer, Alexander:8
Banaschewski, Tobias:53
Schmidt, Martin:8
Zohsel, Katrin:17
Meyer-Lindenberg, Andreas:8
Baumeister, Sarah:8
Hohmann, Sarah:11
Buchmann, Arlette F.:37
Brandeis, Daniel:27
Blomeyer, Dorothea:35
Wolf, Isabella:6
Boecker-Schlier, Regina:10
Jennen-Steinmetz, Christine:29
Plichta, Michael M.:8
Hohm, Erika:18
Holz, Nathalie E.:8
Laucht, Manfred:124
Lang, Patricia:2
Pietra, Stefano:6
Grebe, Markus:14
Moser, Othmar:4
Hofmann, Peter:3
Tschakert, Gerhard:3
Groeschl, Werner:3
Kroll, Alexander:7
Schmidt, Martin H.:113
Witt, Stephanie H.:12
Collins, Matthew J.:2
Paijmans, Johanna L. A.:18
González-Fortes, Gloria M.:7
Barlow, Axel:20
Speller, Camilla F.:2
Ludwig, Arne:7
Caliendo, Marco:21
Cobb-Clark, Deborah A.:2
Uhlendorff, Arne:4
Steup, Martin:68
Schwarte, Sandra:3
Havenstein, Katja:10
Groth, Detlef:28
Tiedemann, Ralph:111
Jeltsch, Florian:147
Eggers, Ute:5
Nathan, Ran:14
Kaatz, Michael:4
Wikelski, Martin:5
Rotics, Shay:4
Sapir, Nir:4
Zurell, Damaris:15
Suo, Zhigang:4
Zhu, Jian:4
Kofod, Guggi:28
Kollosche, Matthias:19
Korup, Oliver:61
Stolle, Amelie:4
Blöthe, Jan Henrik:4
Langer, Maria:2
Delunel, Romain:2
Savi, Sara:6
Schlunegger, Fritz:4
Sailhac, Pascal:2
Guillemoteau, Julien:12
Kössl, Manfred:7
Voss, Cornelia:3
Vater, Marianne:28
Leser, Ulf:2
Schulze, Bert-Wolfgang:98
Mahmoudi, Mahdi Hedayat:2
Hanke-Gogokhia, Christin:5
Baehr, Wolfgang:5
Jiang, Li:2
Gerstner, Cecilia D.:2
Frederick, Jeanne M.:5
Zhang, Houbin:4
Taubert, Andreas:94
Rabu, Pierre:6
Leroux, Fabrice:3
Kritikos, Alexander S.:10
Fossen, Frank M.:3
Bender, Stephan:3
Rietschel, Marcella:24
Füssling, Matthias:2
Komin, Nu.:47
Boese, Adrian Daniel:8
Boese, Roland:2
Schwerdtle, Tanja:96
Draude, Felix:2
Arlinghaus, Heinrich F.:2
Manga, Michael:3
Bronstert, Axel:123
Mohr, Christian Heinrich:11
Grigoli, Francesco:6
Manca, Vincenzo:2
Neumann, Anne:5
Kreutzbruck, Marc:2
Daschewski, Maxim:2
Goodman, Steven M.:3
Dammhahn, Melanie:25
Kapp, Paul:6
Waldrip, Ross:2
Lippert, Peter C.:4
Guo, Zhaojie:14
Dekkers, Mark J.:4
van Hinsbergen, Douwe J. J.:6
Dupont-Nivet, Guillaume:32
Li, Xiaochun:3
Huang, Wentao:8
Li, Tao:5
Thompson, Jessica A.:2
Bookhagen, Bodo:98
Burbank, Douglas W.:10
Chen, Jie:12
Borck, Rainald:11
Wimbersky, Martin:2
Alseekh, Saleh:10
Giavalisco, Patrick:8
Omranian, Nooshin:11
Fernie, Alisdair R.:47
Nikoloski, Zoran:63
Tohge, Takayuki:11
Müller-Röber, Bernd:94
Kleessen, Sabrina:5
Li, Jie:2
Kaya, Sarp:4
Wurth, Wilfried:4
Sorgenfrei, Florian:15
Dell'Angela, Martina:2
Anniyev, Toyli:5
Nordlund, Dennis:11
Gladh, Jörgen:3
Sellberg, Jonas A.:6
Nilsson, Anders:6
Coffee, Ryan:11
Englert, Chris:3
Wolff, Wanja:11
Kiselev, Oleg M.:2
Tarkhanov, Nikolai Nikolaevich:38
Trauth, Martin H.:60
Maslin, Mark A.:9
Hatter, Nino:2
Franke, Katharina J.:2
May, Volkhard:6
Körzdörfer, Thomas:20
Megow, Jörg:12
Renger, Thomas:4
Blumstengel, Sylke:2
Vlasov, Vladimir:5
Pikovskij, Arkadij:134
Komarov, Maxim:10
Kirstein, Stefan:3
Rabe, Jürgen P.:6
Röhr, Merle I. S.:2
Hildebrandt, Jana:2
Hecht, Stefan:11
Brenner, Thomas J. K.:11
Kniepert, Juliane:14
Paetzel, Michael:2
Bougeois, Laurie:4
Kliegl, Reinhold:200
Dimigen, Olaf:7
Sommer, Werner:8
Hadsch, D.:3
van Eldik, Christopher:6
Holler, M.:52
Jung, I.:24
Perez, J.:21
Mayer, M.:47
Reimer, Olaf:8
Reyes, R. de Los:3
Dalton, M.:22
Rob, L.:23
Lu, C-C:3
Katarzynski, Krzysztof:5
Katz, Uli:6
Nicenboim, Bruno:10
Vasishth, Shravan:63
Sigman, Mariano:4
Gattei, Carolina:3
Holschneider, Matthias:62
Matuschek, Hannes:5
Strecker, Manfred Reinhard:153
Wichura, Henry:3
Häring, Tim:2
Schröder-Esselbach, Boris:35
Sandev, Trifce:10
Tomovski, Zivorad:4
Induli, Martha:2
Wanjohi, John M.:3
Yenesew, Abiy:35
Krahé, Barbara:103
König, Tobias:6
Yadavalli, Nataraja Sekhar:13
Fuhrmann, M.:2
Günter, Christina:44
Baburin, Igor A.:6
Senkovska, Irena:2
Leoni, Stefano:2
Behrens, Karsten:12
Friedrich, Alwin:14
Jäger, Christian:5
Schilde, Uwe:130
Kaskel, Stefan:2
Bacsik, Zoltan:2
Hedin, Niklas:2
Seifert, Gotthard:3
Thomas, Arne:9
Schmidt, Johannes:4
Weber, Jens:9
Debatin, Franziska:3
Kügler, Frank:18
Genzel, Susanne:5
Kratz, Karl:54
Sauter, Tilman:9
Weigel, Thomas:3
Lendlein, Andreas:145
Lützow, Karola:4
Schossig, Michael:3
Pollatos, Olga:33
Gramann, Klaus:6
Willmitzer, Lothar:17
Lisec, Jan:8
Balazadeh, Salma:43
Brotman, Yariv:7
Midiwo, Jacob O.:17
Machumi, Francis:2
Heydenreich, Matthias:98
Trinh, C.:2
Löhmannsröben, Hans-Gerd:81
Bland-Hawthorn, Joss:6
Ellis, S. C.:2
Schmidt, B.:2
Lee, S.:2
Haynes, R.:3
Leon-Saval, S. G.:2
Roth, M.:3
Horton, A. J.:2
Tepper-Garcia, Thorsten:2
Booth, C. M.:2
Theuns, Tom:3
Richter, Philipp:40
Schaye, Joop:13
Clement, Michel:2
Toeroek, Tibor:3
Linker, Jon A.:2
Liu, Rui:6
Wang, Haimin:5
Kliem, Bernhard:34
Lionello, Roberto:2
Liu, Chang:5
Titov, Viacheslav S.:5
Yan, Ming:34
Gerke, Horst H.:12
Sommer, Michael:55
Rieckh, Helene:4
Thielemann-Kühn, Nele:3
Hoffmann, P.:2
Brückner, Michael:2
Scheffer, Tobias:8
Paz, Cristian:5
Silva, Mario:3
Becerra, Jose:3
Peter, Martin G.:105
Schmidt, Bernd:84
Müller, Peter:5
Schwarzer, Roland:3
Möllnitz, Kristian:6
Wessig, Pablo:51
Herrmann, Andreas:12
Wawrzinek, Robert:4
Pohl, M.:18
Bergheim, Ina:2
Henkel, Janin:14
Menzel, Ralf:94
Ramm, Sascha:2
Garz, Andreas:4
Sandmann, Michael:5
Beta, Carsten:44
Amselem, Gabriel:2
Theves, Matthias:7
Bodenschatz, Eberhard:7
Bae, Albert J.:4
Rusconi, Marco:3
Bettenbühl, Mario:2
Engbert, Ralf:108
Berg, Maik:2
Flehr, Roman:15
Kienzler, Andrea Altevogt Nee:2
Bannwarth, Willi:5
Gehne, Sören:3
Shainyan, Bagrat A.:48
Kirpichenko, Svetlana V.:13
Loock, Hans-Peter:4
Reich, Oliver:19
Munzke, Dorit:7
Waldron, Wayne L.:5
Hamaguchi, Kenji:5
Fudickar, Werner:21
Linker, Torsten:85
Fostiropoulos, Konstantinos:3
Schindler, Wolfram:3
Janietz, Silvia:18
Pingel, Patrick:12
Frisch, Johannes:7
Inal, Sahika:10
Kurpiers, Jona:13
Jung, Friedrich:14
Braune, Steffen:9
Haag, Rainer:14
Neffe, Axel Thomas:28
Richau, Klaus:6
Luetzow, Karola:4
Selbig, Joachim:48
Grimbs, Sergio:11
Larhlimi, Abdelhalim:6
Basler, Georg:5
Romero-Viana, Lidia:3
Kienel, Ulrike:6
Sachse, Dirk:42
Elsenbeer, Helmut:42
Neill, Christopher:13
Krusche, Alex V.:12
Pestryakova, Luidmila A.:27
Wetterich, Sebastian:20
Ulrich, Mathias:3
Herzschuh, Ulrike:100
Suckow, Christian:6
von Websky, Karoline:17
Döhner, Wolfram:3
Anker, Stefan D.:2
Federici, S.:9
Levy, C.:5
Kaufmann, Paul:5
Lehnhardt, Lothar:6
Fedyunin, Ivan:7
Böhmer, Nadine:2
Ignatova, Zoya:32
Zhang, Gong:12
Risse, Sebastian:10
Kussmaul, Bjoern:2
Krüger, Hartmut:5
Helmsing, Nico R.:2
Bezemer, T. Martijn:3
Vos, Matthijs:7
Bukovinszky, Tibor:2
Bakker, Elisabeth S.:2
Domis, Lisette Nicole de Senerpont:3
Modarresi-Alam, Ali Reza:7
Inaloo, Iman Dindarloo:3
Leimkühler, Silke:110
Kalimuthu, Palraj:3
Bernhardt, Paul V.:3
Oshanin, Gleb:16
Bredas, Jean-Luc:6
Sherrill, C. David:3
Parrish, Robert M.:5
Sears, John S.:3
Ruiz, Salome Vargas:2
Hass, Roland:12
Masepohl, Bernd:3
Narberhaus, Franz:3
Gemeinholzer, B.:2
Liu, Xingqi:11
Wang, Yongbo:14
Birks, H. John B.:10
Hartwich, Melanie:4
Wacker, Alexander:57
Martin-Creuzburg, Dominik:14
Rothhaupt, Karl-Otto:3
Grossart, Hans-Peter F.:105
Allgaier, Martin:4
Roesel, Stefan:3
Heilmann, Katja:7
Stuckas, Heiko:6
Hartmann, Stefanie:23
Micheel, Burkhard:46
Quesada, Humberto:2
Bartel, Manuela:2
Arbeiter, Susanne:2
Tegetmeyer, Cosima:2
Lange, Dietrich:9
Wiegelmann, Thomas:4
Bramborg, Andrea:4
Pratt, Jay:4
Adam, Jos J.:3
Fischer, Martin H.:63
Godambe, S.:19
