Institut für Informatik und Computational Science;Mathematisch-Naturwissenschaftliche Fakultät;2
Institut für Informatik und Computational Science;Institut für Geowissenschaften;4
Institut für Informatik und Computational Science;Institut für Physik und Astronomie;5
Institut für Informatik und Computational Science;Institut für Umweltwissenschaften und Geographie;1
Institut für Informatik und Computational Science;Institut für Biochemie und Biologie;5
Institut für Informatik und Computational Science;Institut für Ernährungswissenschaft;2
Institut für Informatik und Computational Science;Institut für Chemie;3
Zentrum für Umweltwissenschaften;Institut für Mathematik;1
Zentrum für Umweltwissenschaften;Institut für Geowissenschaften;3
Zentrum für Umweltwissenschaften;Institut für Physik und Astronomie;1
Zentrum für Umweltwissenschaften;Institut für Umweltwissenschaften und Geographie;3
Zentrum für Umweltwissenschaften;Institut für Biochemie und Biologie;1
Zentrum für Umweltwissenschaften;Institut für Chemie;1
Zentrum für Umweltwissenschaften;Extern;3
Institut für Künste und Medien;Strukturbereich Kognitionswissenschaften;1
Institut für Künste und Medien;Fachgruppe Soziologie;1
Institut für Künste und Medien;Department Psychologie;1
Institut für Künste und Medien;Wirtschaftswissenschaften;1
Institut für Künste und Medien;Institut für Romanistik;1
Institut für Künste und Medien;Institut für Germanistik;2
Institut für Künste und Medien;Philosophische Fakultät;4
Institut für Künste und Medien;Humanwissenschaftliche Fakultät;1
Strukturbereich Kognitionswissenschaften;Akademie für Psychotherapie und Interventionsforschung GmbH;1
Strukturbereich Kognitionswissenschaften;Lehreinheit für Wirtschafts-Arbeit-Technik;2
Strukturbereich Kognitionswissenschaften;Fachgruppe Soziologie;2
Strukturbereich Kognitionswissenschaften;Institut für Mathematik;4
Strukturbereich Kognitionswissenschaften;Department Psychologie;54
Strukturbereich Kognitionswissenschaften;Hasso-Plattner-Institut für Digital Engineering GmbH;3
Strukturbereich Kognitionswissenschaften;Gesundheitsmanagement;1
Strukturbereich Kognitionswissenschaften;Institut für Physik und Astronomie;6
Strukturbereich Kognitionswissenschaften;Institut für Romanistik;1
Strukturbereich Kognitionswissenschaften;Fakultät für Gesundheitswissenschaften;6
Strukturbereich Kognitionswissenschaften;Philosophische Fakultät;4
Strukturbereich Kognitionswissenschaften;Institut für Anglistik und Amerikanistik;2
