Institut für Chemie:2209
Institut für Philosophie:67
Potsdam Institute for Climate Impact Research (PIK) e. V.:1
Institut für Religionswissenschaft:6
Bürgerliches Recht:496
Sonderforschungsbereich 632 - Informationsstruktur:11
Geschlechtersoziologie:1
Zentrum für Australienforschung:2
Institut für Umweltwissenschaften und Geographie:821
ZIM - Zentrum für Informationstechnologie und Medienmanagement:31
Interdisziplinäres Zentrum für Dünne Organische und Biochemische Schichten:26
Fachgruppe Betriebswirtschaftslehre:57
Institut für Ernährungswissenschaft:686
DV und Statistik Wirtschaftswissenschaften:1
Zentrum für Sprachen und Schlüsselkompetenzen (Zessko):60
Department Erziehungswissenschaft:835
Sozialwissenschaften:999
Department Grundschulpädagogik:438
Strafrecht:175
Institut für Jüdische Studien und Religionswissenschaft:453
Extern:430
Zentrum für Lern- und Lehrforschung:26
Institut für Biochemie und Biologie:3431
MenschenRechtsZentrum:745
Zentrum für Umweltwissenschaften:40
Department Linguistik:944
Zentrum für Lehrerbildung und Bildungsforschung (ZeLB):91
Institut für angewandte Familien-, Kindheits- und Jugendforschung e.V.:2
Institut für Germanistik:877
Interdisziplinäres Zentrum für Biopolymere:8
Hochschulambulanz:5
Wirtschafts- und Sozialwissenschaftliche Fakultät:63
Akademie für Psychotherapie und Interventionsforschung GmbH:1
Institut für Lebensgestaltung-Ethik-Religionskunde:5
Wirtschaftswissenschaften:1103
Institut für Künste und Medien:233
Botanischer Garten:1
Zentrum für Gerechtigkeitsforschung:64
Lehreinheit für Wirtschafts-Arbeit-Technik:189
Department für Inklusionspädagogik:138
Fachgruppe Soziologie:53
Humanwissenschaftliche Fakultät:66
Abraham Geiger Kolleg gGmbH:4
Fachgruppe Volkswirtschaftslehre:20
Potsdam Research Institute for Multilingualism (PRIM):11
Institut für Mathematik:996
Hasso-Plattner-Institut für Digital Engineering gGmbH:142
UP Transfer:1
Hasso-Plattner-Institut für Digital Engineering GmbH:90
Department Musik und Kunst:147
Department Psychologie:1628
An-Institute:61
Digital Engineering Fakultät:1
Fachgruppe Politik- & Verwaltungswissenschaft:120
WeltTrends e.V. Potsdam:190
Interdisziplinäres Zentrum für Dynamik komplexer Systeme:44
Mathematisch-Naturwissenschaftliche Fakultät:51
Forschungsbereich &#8222;Politik, Verwaltung und Management":2
Vereinigung für Jüdische Studien e. V.:194
Referat für Presse- und Öffentlichkeitsarbeit:2
Philosophische Fakultät:316
Interdisziplinäres Zentrum für Kognitive Studien:3
Universitätsbibliothek:22
Zentrum für Qualitätsentwicklung in Lehre und Studium (ZfQ):46
Institut für Geowissenschaften:2486
Zentrale und wissenschaftliche Einrichtungen:1
Kanonistisches Institut e.V.:2
Department Sport- und Gesundheitswissenschaften:904
Arbeitskreis Militär und Gesellschaft in der Frühen Neuzeit e. V.:44
Kommunalwissenschaftliches Institut:122
Potsdam Graduate School:1
Universitätsleitung und Verwaltung:12
Institut für Informatik und Computational Science:642
Moses Mendelssohn Zentrum für europäisch-jüdische Studien e. V.:18
Strukturbereich Kognitionswissenschaften:180
Multilingualism:3
Institut für Jüdische Theologie:36
Institut für Romanistik:1423
Institut für Anglistik und Amerikanistik:457
Gesundheitsmanagement:3
Theodor-Fontane-Archiv:1
Institut für Slavistik:392
Potsdam Transfer - Zentrum für Gründung, Innovation, Wissens- und Technologietransfer:9
Juristische Fakultät:10
Fakultät für Gesundheitswissenschaften:13
Organe und Gremien:1
Institut für Physik und Astronomie:3783
Historisches Institut:1290
Interdisziplinäres Zentrum für Massenspektronomie von Biopolymeren:1
Strukturbereich Bildungswissenschaften:60
Klassische Philologie:60
Verband für Patholinguistik e. V. (vpl):25
Career Service:1
Öffentliches Recht:412
